Driver,LapNumber,Compound,PC1,PC2,PC3
1,39,SOFT,3.904785435966105,-2.7786839721850702,-1.0773958360173246
2,42,SOFT,0.4819141760950903,-2.6546865070767787,-0.5839606893994349
3,37,SOFT,0.3649387002497462,-2.0042665664024897,1.7364084356638718
4,35,HARD,0.14384156954636299,0.19134530808427064,0.7105570923744942
10,45,SOFT,2.026941897545804,-1.058963437012841,1.7005637198101005
11,40,SOFT,1.8971234489657645,-1.0520171000835514,0.7609710990726037
14,48,HARD,1.7776274729533517,1.137495057416214,-1.7674032962562305
16,36,HARD,2.5532131451416094,1.9367307208988724,2.2537568765765577
18,30,HARD,-3.510122218598518,-0.3906678000800853,-0.0711333570313795
20,34,HARD,-2.08888909040108,-0.2704574580567154,-0.351280743479817
22,37,HARD,-1.2738454379011837,0.5117098420238649,0.13448890037375563
23,40,HARD,-2.0238631492055843,0.1997950297713788,-0.7920697848474488
24,30,HARD,-3.1912117016024744,-0.5805217152815637,-0.07260361792262494
27,46,SOFT,-0.9713028984716251,-2.458556780472711,-0.8879333343157115
31,34,HARD,-3.087717247640702,0.6079449570230504,0.10861614928069806
44,39,HARD,1.838392794507581,2.503483499024289,-0.03345888306400313
55,44,HARD,1.3457785524214112,1.4561381723004636,-1.878016644112541
63,40,HARD,0.11414437014690434,1.7215583044381773,-0.7388900376257829
77,33,HARD,-1.593046679910737,1.3329541502552098,1.8539266811429826
81,39,HARD,1.2912968601921764,1.6496662954160157,-1.0051427302227638
